brand,type,condition,size,material,price
luxury,silk dress,Gently Used,M,Silk,45.0
luxury,silk dress,Gently Used,M,Silk,27.0
luxury,silk dress,Gently Used,M,Silk,90.0
luxury,silk dress,Gently Used,M,Silk,146.98
luxury,silk dress,Gently Used,M,Silk,48.99
luxury,silk dress,Gently Used,M,Silk,18.0
luxury,silk dress,Gently Used,M,Silk,119.0
luxury,silk dress,Gently Used,M,Silk,15.0
luxury,silk dress,Gently Used,M,Silk,20.0
luxury,silk dress,Gently Used,M,Silk,22.0
luxury,silk dress,Gently Used,M,Silk,30.0
luxury,silk dress,Gently Used,M,Silk,85.0
luxury,silk dress,Gently Used,M,Silk,15.0
luxury,silk dress,Gently Used,M,Silk,300.0
luxury,silk dress,Gently Used,M,Silk,65.0
luxury,silk dress,Gently Used,M,Silk,25.0
luxury,silk dress,Gently Used,M,Silk,199.99
luxury,silk dress,Gently Used,M,Silk,38.0
luxury,silk dress,Gently Used,M,Silk,50.0
luxury,silk dress,Gently Used,M,Silk,75.0
vintage,cashmere jacket,Gently Used,M,Cotton,20.0
vintage,cashmere jacket,Gently Used,M,Cotton,54.0
vintage,cashmere jacket,Gently Used,M,Cotton,100.0
vintage,cashmere jacket,Gently Used,M,Cotton,118.8
vintage,cashmere jacket,Gently Used,M,Cotton,15.0
vintage,cashmere jacket,Gently Used,M,Silk,125.0
vintage,cashmere jacket,Gently Used,M,Cotton,72.0
vintage,cashmere jacket,Gently Used,M,Wool,76.43
vintage,cashmere jacket,Gently Used,M,Cotton,39.9
vintage,cashmere jacket,Gently Used,M,Cotton,55.0
vintage,cashmere jacket,Gently Used,M,Cotton,125.0
vintage,cashmere jacket,Gently Used,M,Cotton,49.0
vintage,cashmere jacket,Gently Used,M,Cotton,150.0
vintage,cashmere jacket,Gently Used,M,Wool,74.99
vintage,cashmere jacket,Gently Used,M,Cotton,39.99
vintage,cashmere jacket,Gently Used,M,Cotton,75.0
vintage,cashmere jacket,Gently Used,M,Wool,150.72
vintage,cashmere jacket,Gently Used,M,Cotton,130.21
vintage,cashmere jacket,Gently Used,M,Wool,156.61
vintage,cashmere jacket,Gently Used,M,Cotton,50.0
luxury,silk pants,Gently Used,S,Silk,22.99
luxury,silk pants,Gently Used,M,Silk,25.49
luxury,silk pants,Gently Used,M,Silk,40.0
luxury,silk pants,Gently Used,M,Silk,50.0
luxury,silk pants,Gently Used,M,Silk,285.0
luxury,silk pants,Gently Used,M,Silk,25.0
luxury,silk pants,Gently Used,M,Silk,45.0
luxury,silk pants,Gently Used,M,Silk,22.99
luxury,silk pants,Gently Used,M,Silk,60.0
luxury,silk pants,Gently Used,M,Silk,64.0
luxury,silk pants,Gently Used,M,Silk,99.99
luxury,silk pants,Gently Used,M,Silk,150.0
luxury,silk pants,Gently Used,M,Silk,89.99
luxury,silk pants,Gently Used,M,Silk,221.14
luxury,silk pants,Gently Used,M,Silk,210.0
y2k,linen pants,Gently Used,M,Cotton,194.99
y2k,linen pants,Gently Used,M,Cotton,184.99
y2k,linen pants,Gently Used,M,Cotton,129.67
luxury,linen sweater,Gently Used,M,Silk,39.99
luxury,linen sweater,Gently Used,M,Cotton,24.5
luxury,linen sweater,Gently Used,M,Cotton,32.42
vintage,leather dress,Gently Used,M,Leather,69.0
vintage,leather dress,Gently Used,M,Leather,55.0
vintage,leather dress,Gently Used,M,Cotton,475.0
vintage,leather dress,Gently Used,M,Leather,94.0
vintage,leather dress,Gently Used,M,Cotton,59.99
vintage,leather dress,Gently Used,M,Leather,44.99
vintage,leather dress,Gently Used,M,Leather,260.0
vintage,leather dress,Gently Used,M,Cotton,110.0
vintage,leather dress,Gently Used,M,Cotton,99.95
vintage,leather dress,Gently Used,M,Cotton,30.0
vintage,leather dress,Gently Used,M,Leather,995.0
vintage,leather dress,Gently Used,M,Leather,995.0
vintage,leather dress,Gently Used,M,Cotton,80.0
vintage,leather dress,Gently Used,M,Cotton,14.99
vintage,leather dress,Gently Used,M,Cotton,32.42
vintage,leather dress,Gently Used,M,Leather,29.99
vintage,leather dress,Gently Used,M,Leather,319.0
